date,portfolio_ret,benchmark_ret,sp500_ret,portfolio_cum,benchmark_cum,sp500_cum,drawdown,portfolio_local_gross_ret,portfolio_fx_effect,portfolio_usd_gross_ret,benchmark_local_ret,benchmark_fx_effect,benchmark_usd_gross_ret,active_local_gross_ret,active_fx_effect,active_usd_gross_ret
2018-11-27,0.003001652137468889,0.0030394542903754394,0.003261703042884756,1.003001652137469,1.0030394542903753,1.0032617030428848,0.0,0.0036808726,-0.0006414183,0.0030394543,0.0036808726,-0.0006414183,0.0030394543,0.0,0.0,0.0
2018-11-28,0.0233409072003487,0.023109442550325612,0.02297393528374414,1.026412620621806,1.0262191369350087,1.026310572481251,0.0,0.0222850879,0.0010558193,0.0233409072,0.0220262489,0.0010831937,0.0231094426,0.000258839,-2.73744e-05,0.0002314647
2018-11-29,-0.0007954486689159758,-0.0011886832212015539,-0.002197690056454649,1.0255961620689737,1.024999287465658,1.0240550599412745,-0.0007954486689161211,-0.0009968319,0.0002013832,-0.0007954487,-0.0013695688,0.0001808856,-0.0011886832,0.000372737,2.04976e-05,0.0003932346
2018-11-30,0.0067274735216759935,0.006872382136854843,0.00818552393197347,1.0324958330932252,1.0320434742591258,1.0324374871420823,0.0,0.0075376077,-0.0008101342,0.0067274735,0.0076978892,-0.000825507,0.0068723821,-0.0001602815,1.53729e-05,-0.0001449086
2018-12-03,0.013957398709364561,0.013314036607527915,0.01094135506146343,1.046906789101465,1.045784138855972,1.0437337522676688,0.0,0.0136288359,0.0003285628,0.0139573987,0.0129722994,0.0003417372,0.0133140366,0.0006565364,-1.31743e-05,0.0006433621
2018-12-04,-0.029251937865400226,-0.028539287868510017,-0.03236488351007216,1.0162827367558032,1.0159382042688396,1.0099534309599951,-0.029251937865400257,-0.0294890811,0.0002371432,-0.0292519379,-0.0287113944,0.0001721066,-0.0285392879,-0.0007776867,6.50367e-05,-0.00071265
2018-12-05,-0.0025188034994886735,-0.0026519688841399516,,1.0137229202419928,1.0132439677629097,1.0099534309599951,-0.0316970614814267,-0.0023212273,-0.0001975762,-0.0025188035,-0.0024854549,-0.0001665139,-0.0026519689,0.0001642276,-3.10623e-05,0.0001331654
2018-12-06,-0.004798155421070447,-0.00456193614170295,-0.001522188395813528,1.0088589201167704,1.0086216134860095,1.0084160915670757,-0.036343129475117975,-0.0053782473,0.0005800919,-0.0047981554,-0.0051320966,0.0005701605,-0.0045619361,-0.0002461507,9.9314e-06,-0.0002362193
2018-12-07,-0.018961450212786658,-0.01868047121961977,-0.02332016543333515,0.9897294919312506,0.9897800864637977,0.9848996614860942,-0.05461546124778527,-0.0188521182,-0.000109332,-0.0189614502,-0.018571363,-0.0001091083,-0.0186804712,-0.0002807553,-2.237e-07,-0.000280979
2018-12-10,0.0011005958345761903,0.0007371315878902983,0.001762194844060927,0.9908187840874274,0.990509684630595,0.9866352465914824,-0.05357497496236174,0.002043987,-0.0009433912,0.0011005958,0.0016405814,-0.0009034498,0.0007371316,0.0004034056,-3.99414e-05,0.0003634642
