date,c,m,h,turnover,S,g,contrib,mu_sd,bm_fwd
2018-12-26,-0.0001061,172,86,0.037038261530311326,0.4927121102880394,0.048805682368765396,0.0004453323293420367,0.9591382313044778,0.06687808268220455
2019-01-24,-3.16e-05,159,79,0.07668624373348806,0.06551892171771478,0.024633411203107223,6.149484772743688e-05,0.8883311361606252,0.057998571798150315
2019-02-22,-6e-07,164,82,0.07567750241984961,0.0013002543272912037,-0.017526346353571715,-8.622962405957283e-07,0.8737396993245884,0.017992186938894705
2019-03-25,-4.52e-05,173,86,0.015915818456665037,0.49130995187529297,0.013751994448632435,5.3456752820724004e-05,0.9778538829314768,0.05401129442530716
2019-04-23,-7.89e-05,169,84,0.027043619881576286,0.49305899352194255,-0.038059335946490705,-0.00025224205491896175,0.9707207863798976,-0.024669252006049414
2019-05-22,-0.0001139,166,83,0.038291583520096505,0.49377430395577304,-0.008895832257272368,-8.409852941057578e-05,0.9046363874093204,0.040379043022498104
2019-06-20,-0.000102,127,63,0.03405296660994003,0.38040738559966575,0.016028050814751407,0.00010299625453559254,0.9318926496656746,0.012031527607818835
2019-07-19,-7.29e-05,162,81,0.024253568615485124,0.48693040546865424,-0.020096878490249468,-0.00011867005779707407,0.9226131753582174,-0.018098662944114156
2019-08-19,-3.8e-05,159,79,0.02219839235089044,0.2721818726551898,0.01791282386936601,5.377429725583677e-05,0.9427761402841685,0.02768276652237715
2019-09-17,-9.7e-06,162,81,0.02293538116834569,0.06851423084996602,0.0044775748249025775,3.5180305399259556e-06,0.9783547408271012,0.005889975592480069
2019-10-16,-3.36e-05,161,80,0.01157968517373509,0.467162959859219,0.02990201911150697,8.037662737173073e-05,0.9940687670332108,0.03834112283015672
2019-11-14,0.0001286,168,84,0.09180858964284026,0.23532438613912268,0.01173164223576732,0.0001267298920876529,0.9167882870382941,0.027148487585366567
2019-12-13,2.13e-05,172,86,0.05454964487392498,0.06716084052366068,0.02420921186097698,4.434643428693763e-05,0.8743769410420258,0.04445416563884999
2020-03-11,-0.0,17,1,0.09387887047628014,0.0,-0.07805128598660871,-0.0,0.8632809776033966,0.02242866705635191
2020-04-09,0.0,20,3,0.10377277449242943,0.0,0.06924489566591101,0.0,0.4867184420064795,0.06085735329174152
2020-05-08,-1.88e-05,158,79,0.06089729699893554,0.048777205990799904,0.039251677990407186,5.8296592151352745e-05,0.8612508541900856,0.09286040947704545
2020-08-05,2.51e-05,166,83,0.0504143266227351,0.08264714177737344,0.0016159027831716306,3.3664102681814582e-06,0.9493165898414746,0.04638705908599538
2020-10-02,9.5e-06,73,36,0.02227416906822321,0.03113471922907155,0.005853988219277765,2.002063970992996e-06,1.0985443317830739,-0.020640541055751478
2020-11-02,-4.3e-05,164,82,0.027495462037921407,0.2564786869292819,0.094483043594898,0.0003331472117156103,0.9320439490715074,0.12543304980857092
2020-12-01,0.0001673,161,80,0.08949339469567535,0.30097528528886625,-0.0034792106658439424,-4.6565755551655324e-05,0.9754104343108967,0.035365617282780135
2020-12-30,5.46e-05,148,74,0.05559893183977196,0.14534092171568494,0.026674256568405802,0.00010777466623898679,0.9937355010276635,0.01812409876226123
2021-01-28,5.24e-05,143,71,0.07923410598296633,0.09457038616187428,0.010987075932359664,4.087631729875089e-05,0.9217037620269775,-0.003152891912877518
2021-02-26,-4.29e-05,148,74,0.04339899895890135,0.14629830531373922,-0.05333966943807861,-0.00016933211459812435,0.9946650786855415,0.02687637408868623
2021-03-29,-2.11e-05,149,74,0.05774271738316568,0.05444669289008164,0.03181765064713441,4.9680079720435676e-05,1.0097239997983831,0.061557772313386355
2021-04-27,-3.9e-05,175,87,0.04251959282095946,0.16051423701865056,-0.02693046870178579,-9.137508030515917e-05,1.0010151657819575,0.0010546930069674993
2021-05-26,-2.14e-05,174,87,0.01769010672352534,0.21049053339221171,0.03423654581042371,6.374160098984685e-05,1.0051431597438547,0.025348111780920345
2021-06-24,-2.34e-05,104,52,0.01866116091523582,0.13040989309583084,-0.013119419376099126,-1.5963709496837416e-05,0.8977261779651298,0.03351109995374328
2021-07-23,3.18e-05,178,89,0.032441200923763,0.17448182677644922,-0.004462793102725673,-1.26305970393342e-05,0.9565055925475519,0.014573453488473352
2021-08-23,5.1e-05,176,88,0.028344015660911846,0.3166806040252955,0.025942025299344692,0.00011642780954345898,0.982580674406271,-0.017461026739170334
2021-09-21,-3.58e-05,161,80,0.014059207007480071,0.4099662233391559,0.0032617499666861885,9.341651904589244e-06,0.9414468777843723,0.033272706743610964
2021-10-20,-3.37e-05,181,90,0.020832316900276447,0.2927998853511611,0.03830594051245981,0.0001161819175742906,0.9898047172096318,0.048800550475214845
2022-02-15,-3.49e-05,163,81,0.07460059830345801,0.07625542059139637,-0.052598478619369726,-0.00014869063920909629,0.9214921664103728,-0.03782993273804036
2022-03-16,5.65e-05,130,65,0.02840080916378271,0.258619392061776,-0.014766535740853674,-5.423010250828512e-05,1.0153118472735765,0.006192932372195547
2022-04-14,2.93e-05,128,64,0.02618630520853277,0.14321989949074365,-0.022788691496771065,-4.2733354294745105e-05,1.0266493961587182,-0.08910250261139757
2022-06-13,-0.0,11,1,0.0888566509494326,0.0,0.12171097866517223,0.0,1.7793350425231902,0.019052796832458488
2022-07-12,6.16e-05,129,64,0.023930105485998835,0.33206706943474723,0.08200403540385695,0.0003232927091761657,1.0598531599929297,0.10554291310146888
2022-08-10,7.12e-05,136,68,0.050658575145518726,0.1911463157458462,-0.029338741234104307,-0.0001420464495590394,1.01630541289845,-0.06019389561372438
2022-09-08,-6.7e-06,157,78,0.024086866540132097,0.043671101770227656,-0.004031840317543699,-2.1070397499483372e-06,1.0190963059376366,-0.08523698333770159
2022-10-07,-8.8e-06,123,61,0.0674463209953462,0.01604831789230855,-0.03252440731107171,-1.7459101844583294e-05,0.867277215871334,0.035753859649728006
2022-11-07,0.0001262,126,63,0.08392858170012234,0.18946108319589086,0.01954746735164347,0.00015541409392597657,1.0700610625420166,0.0519381859177436
2022-12-06,0.0002083,120,60,0.07093662984238358,0.35237084219449716,-0.018675881048133832,-0.00023341116133957665,1.025259601093151,-0.020398884843502448
2023-01-04,-7.94e-05,154,77,0.06350730684490763,0.19253847482245232,0.10163922642867827,0.0006214019025396533,0.9705020341784197,0.10170087522164165
2023-02-02,-6.85e-05,171,85,0.08163268799976793,0.1434903135865537,-0.006901854722632217,-4.018604912252608e-05,0.9541538753915061,-0.0274468625666608
2023-03-03,-8.3e-06,178,89,0.06451278256401233,0.02290088787495813,0.008333775641476946,6.15616006635902e-06,0.9665905233868782,0.04313993403272893
2023-04-03,3.95e-05,179,89,0.06324685350613116,0.11179212258068434,-0.02916816775171566,-0.0001025406937311564,0.9841167557573057,0.00652844913136519
2023-05-02,6.94e-05,165,82,0.08130665434501544,0.14083718106772664,0.08421407632338188,0.0004792454655411016,1.033981222338384,0.03412767644459578
2023-05-31,0.0001472,143,71,0.1076999886066417,0.19544663163225165,0.02492677451958108,0.0002605147058590458,0.9721214518335024,0.049212146468251804
2023-06-29,6.07e-05,136,68,0.0821280948004592,0.1005161512641572,0.014682972478811729,6.0605437203543286e-05,0.9517688763115807,0.0416144403287538
2023-07-28,-1.35e-05,44,22,0.06402353267794669,0.009277838556456398,-0.01353777916780342,-4.020720412837616e-06,0.8523546882921658,-0.02854192528750395
2023-08-28,-1.56e-05,175,87,0.058237927048047616,0.04687666849384401,-0.001455180948481008,-1.974971583278424e-06,1.0167342043421523,-0.02939124453342866
2023-09-26,6.6e-06,171,85,0.055457401846412305,0.02035075503763457,0.016379502946397582,9.188901152929043e-06,0.9364280826932465,-0.012027015978051777
2023-11-23,-3.56e-05,159,79,0.06769280384127047,0.08361893257181065,0.03468228909110114,9.754046983981283e-05,0.9304853435891386,0.03890503969232794
2023-12-22,-6.5e-06,150,75,0.06588049368967767,0.014799524797015379,0.01812282299898304,8.83487621200423e-06,0.795163254021658,0.028165312126691766
2024-01-22,2.19e-05,155,77,0.06854893880983212,0.04951936614827828,0.009559256930296302,1.6119774961558652e-05,0.7599530620080213,0.03819225646247411
2024-02-20,-0.00024,179,89,0.13532448988844975,0.3174591682216031,0.02281573906201928,0.0004873441863647318,0.9748996288031989,0.051737121592562565
2024-03-20,0.0001033,167,83,0.09589384097957704,0.17989789358499103,-0.006521376672261157,-5.591363145029994e-05,0.8721012620166294,-0.03868230074314842
2024-05-17,7.56e-05,162,81,0.08265620049924882,0.14817037228938804,0.027058831524030248,0.00016569746072055163,0.8122124134176266,0.04622216350847954
