date,n_mega,funding_set_size,funding_set,n_flip,entered,exited,flip_abs_delta_sum,turnover
2018-12-26,4,3,AAPL|GOOGL|MSFT,0,,,0.0,0.037038261530311326
2019-01-24,2,1,MSFT,2,,AAPL|GOOGL,6.32567121924485e-05,0.07668624373348806
2019-02-22,3,2,AAPL|MSFT,1,AAPL,,5.843383189957363e-07,0.07567750241984961
2019-03-25,4,3,AAPL|GOOGL|MSFT,1,GOOGL,,4.521294295852657e-05,0.015915818456665037
2019-04-23,4,3,AAPL|GOOGL|MSFT,0,,,0.0,0.027043619881576286
2019-05-22,3,1,MSFT,2,,AAPL|GOOGL,0.00014480740288648486,0.038291583520096505
2019-06-20,3,1,MSFT,0,,,0.0,0.03405296660994003
2019-07-19,3,1,MSFT,0,,,0.0,0.024253568615485124
2019-08-19,3,1,MSFT,0,,,0.0,0.02219839235089044
2019-09-17,3,2,AAPL|MSFT,1,AAPL,,0.0009429742591528442,0.02293538116834569
2019-10-16,3,2,AAPL|MSFT,0,,,0.0,0.01157968517373509
2019-11-14,2,2,AAPL|MSFT,0,,,0.0,0.09180858964284026
2019-12-13,3,3,AAPL|GOOGL|MSFT,1,GOOGL,,2.1328736844482277e-05,0.05454964487392498
2020-01-13,3,2,GOOGL|MSFT,1,,AAPL,0.000765932098136135,0.05731756642034845
2020-02-11,4,3,AAPL|GOOGL|MSFT,1,AAPL,,2.1589146471830134e-05,0.10712887855773713
2020-03-11,4,2,AAPL|MSFT,1,,GOOGL,0.004286885693378213,0.09387887047628014
2020-04-09,3,3,AAPL|AMZN|MSFT,1,AMZN,,0.00014175291577395166,0.10377277449242943
2020-05-08,4,4,AAPL|AMZN|GOOGL|MSFT,1,GOOGL,,0.001817784310075482,0.06089729699893554
2020-06-08,4,4,AAPL|AMZN|GOOGL|MSFT,0,,,0.0,0.047854759282674575
2020-07-07,4,3,AAPL|GOOGL|MSFT,1,,AMZN,0.0019955188515868236,0.05244484184504688
2020-08-05,3,2,AAPL|MSFT,1,,GOOGL,2.5091018775083573e-05,0.0504143266227351
2020-09-03,4,2,GOOGL|MSFT,2,GOOGL,AAPL,0.001979602479518755,0.09900735218498989
2020-10-02,3,1,MSFT,1,,GOOGL,9.450878125712159e-06,0.02227416906822321
2020-11-02,4,2,GOOGL|MSFT,1,GOOGL,,4.300004177163613e-05,0.027495462037921407
2020-12-01,4,2,GOOGL|MSFT,0,,,0.0,0.08949339469567535
2020-12-30,3,1,MSFT,1,,GOOGL,5.456574480928317e-05,0.05559893183977196
2021-01-28,4,2,GOOGL|MSFT,1,GOOGL,,5.2435329045488754e-05,0.07923410598296633
2021-02-26,4,2,GOOGL|MSFT,0,,,0.0,0.04339899895890135
2021-03-29,4,1,MSFT,1,,GOOGL,0.003941300236786828,0.05774271738316568
2021-04-27,4,3,AAPL|GOOGL|MSFT,2,AAPL|GOOGL,,0.001028148557285384,0.04251959282095946
2021-05-26,4,1,MSFT,2,,AAPL|GOOGL,0.0002916678593441954,0.01769010672352534
2021-06-24,4,3,AAPL|GOOGL|MSFT,2,AAPL|GOOGL,,0.0004179448969126795,0.01866116091523582
2021-07-23,4,2,GOOGL|MSFT,1,,AAPL,3.180133886357406e-05,0.032441200923763
