date,n_finite_mu,n_invalid_mu,n_mega,n_gate_targets,share_binding,g_t,n_ow,n_ow_gated,min_gap_gated
2018-11-27,178,22,3,89,0.19101123595505617,0.5056179775280899,10,0,1.2793351447659695e-11
2018-12-26,178,22,4,91,0.01098901098901099,0.5280898876404494,4,0,1.24824855313177e-11
2019-01-24,178,22,2,90,0.044444444444444446,0.5112359550561798,5,0,9.364158753966123e-12
2019-02-22,178,22,3,91,0.02197802197802198,0.5224719101123596,6,0,1.5369435867225445e-13
2019-03-25,179,21,4,89,0.011235955056179775,0.5139664804469274,10,0,3.662443612273414e-11
2019-04-23,179,21,4,88,0.0,0.5083798882681564,10,0,0.0001372634357876077
2019-05-22,179,21,3,90,0.011111111111111112,0.5083798882681564,11,0,2.632203231420216e-10
2019-06-20,179,21,3,94,0.0,0.5307262569832403,12,0,0.00012195199195377641
2019-07-19,180,20,3,101,0.0,0.5666666666666667,13,0,0.00022337876337887724
2019-08-19,181,19,3,101,0.0,0.569060773480663,14,0,3.777159144929289e-05
2019-09-17,181,19,3,101,0.009900990099009901,0.574585635359116,13,0,3.994547748131794e-14
2019-10-16,181,19,3,106,0.018867924528301886,0.5966850828729282,15,0,4.3677511260553636e-11
2019-11-14,181,19,2,103,0.04854368932038835,0.580110497237569,15,0,4.0634574698106274e-13
2019-12-13,181,19,3,97,0.030927835051546393,0.5524861878453039,17,0,5.941102644568819e-14
2020-01-13,182,18,3,98,0.0,0.5494505494505495,17,0,3.7275222016318847e-06
2020-02-11,182,18,4,102,0.0196078431372549,0.5769230769230769,21,0,8.61946364977273e-13
2020-03-11,182,18,4,101,0.019801980198019802,0.5659340659340659,24,0,5.5453037994812604e-14
2020-04-09,182,18,3,109,0.11926605504587157,0.6153846153846154,29,0,4.658707447591226e-12
2020-05-08,183,17,4,98,0.02040816326530612,0.5573770491803278,26,0,1.2070934529706534e-12
2020-06-08,184,16,4,101,0.0297029702970297,0.5706521739130435,26,0,1.1006155297040021e-11
2020-07-07,184,16,4,94,0.031914893617021274,0.5271739130434783,30,0,7.599462183670302e-11
2020-08-05,184,16,3,94,0.06382978723404255,0.5217391304347826,27,0,2.9807918286439694e-12
2020-09-03,184,16,4,100,0.23,0.5543478260869565,37,0,2.9878269997007934e-13
2020-10-02,185,15,3,107,0.2803738317757009,0.5837837837837838,34,0,2.2655792172865397e-12
2020-11-02,185,15,4,101,0.0297029702970297,0.5567567567567567,27,0,1.225146286504275e-13
2020-12-01,185,15,4,99,0.20202020202020202,0.5459459459459459,42,0,4.931227952018058e-14
2020-12-30,185,15,3,106,0.32075471698113206,0.5783783783783784,39,0,1.8686256968852843e-13
2021-01-28,185,15,4,96,0.3020833333333333,0.5297297297297298,43,0,1.876251324445244e-12
2021-02-26,186,14,4,96,0.13541666666666666,0.5268817204301075,37,0,1.1975064169444938e-11
2021-03-29,186,14,4,102,0.16666666666666666,0.553763440860215,37,0,1.8405988538860996e-12
2021-04-27,186,14,4,101,0.019801980198019802,0.5591397849462365,29,0,7.857158933893826e-13
2021-05-26,186,14,4,98,0.04081632653061224,0.532258064516129,27,0,5.080226603976223e-13
2021-06-24,186,14,4,94,0.0,0.521505376344086,22,0,3.857914573423323e-05
2021-07-23,186,14,4,90,0.06666666666666667,0.4946236559139785,29,0,1.1270498423421316e-13
2021-08-23,186,14,4,97,0.05154639175257732,0.5376344086021505,31,0,3.5049480678894795e-13
2021-09-21,187,13,4,104,0.028846153846153848,0.5721925133689839,26,0,2.0525525723513738e-12
2021-10-20,187,13,4,98,0.01020408163265306,0.5347593582887701,21,0,2.6108504247446263e-11
2021-11-18,187,13,4,100,0.25,0.5508021390374331,31,0,4.029064408495042e-13
2021-12-17,189,11,4,103,0.4174757281553398,0.5608465608465608,32,0,6.207373157152141e-12
2022-01-17,189,11,4,111,0.44144144144144143,0.5925925925925926,34,0,1.3588739508629821e-14
2022-02-15,189,11,4,100,0.12,0.5343915343915344,28,0,6.275369438500655e-12
2022-03-16,190,10,4,106,0.5283018867924528,0.5736842105263158,30,0,7.425926193405097e-13
2022-04-14,190,10,4,104,0.5384615384615384,0.5684210526315789,31,0,6.131826817135089e-13
2022-05-13,189,11,3,103,0.5533980582524272,0.5608465608465608,38,0,1.9626158337393562e-12
2022-06-13,190,10,3,106,0.5754716981132075,0.5736842105263158,39,0,1.132947967212583e-11
2022-07-12,190,10,3,106,0.5660377358490566,0.5736842105263158,41,0,3.9917938746136805e-14
2022-08-10,190,10,4,104,0.49038461538461536,0.5631578947368421,41,0,9.992332482278155e-14
2022-09-08,190,10,4,100,0.31,0.5473684210526316,39,0,6.843883099127979e-13
2022-10-07,191,9,4,97,0.35051546391752575,0.5287958115183246,39,0,4.89240592482787e-13
2022-11-07,191,9,3,105,0.5904761904761905,0.5602094240837696,48,0,9.26264273615196e-14
2022-12-06,191,9,3,108,0.6388888888888888,0.581151832460733,50,0,2.60064973028884e-13
2023-01-04,191,9,2,104,0.25961538461538464,0.5497382198952879,48,0,4.4649579172828524e-12
2023-02-02,192,8,3,114,0.10526315789473684,0.6041666666666666,28,0,2.873942403502916e-13
2023-03-03,192,8,2,104,0.04807692307692308,0.546875,24,0,2.031968343585433e-14
2023-04-03,192,8,3,108,0.06481481481481481,0.5729166666666666,30,0,4.308122218341093e-12
2023-05-02,192,8,3,113,0.168141592920354,0.5989583333333334,37,0,6.193266385845497e-13
2023-05-31,192,8,3,108,0.37962962962962965,0.578125,48,0,8.465905927679263e-14
2023-06-29,192,8,3,102,0.49019607843137253,0.546875,52,0,3.563600152814428e-13
2023-07-28,192,8,3,106,0.11320754716981132,0.5625,39,0,1.4065553409492448e-11
2023-08-28,192,8,3,112,0.05357142857142857,0.59375,33,0,3.360236459741539e-11
2023-09-26,192,8,3,108,0.08333333333333333,0.578125,38,0,1.3279263539472952e-11
2023-10-25,192,8,3,109,0.5321100917431193,0.5833333333333334,51,0,2.1646920367324185e-13
2023-11-23,192,8,4,109,0.10091743119266056,0.5833333333333334,38,0,2.7689185146118067e-11
2023-12-22,193,7,4,110,0.03636363636363636,0.5803108808290155,31,0,8.051473984055368e-13
2024-01-22,193,7,4,110,0.03636363636363636,0.5803108808290155,22,0,2.4910494370380953e-10
2024-02-20,193,7,5,106,0.0,0.5544041450777202,20,0,5.0513420170140294e-05
2024-03-20,193,7,5,119,0.03361344537815126,0.6217616580310881,19,0,5.649855583378383e-13
2024-04-18,193,7,5,113,0.017699115044247787,0.5958549222797928,22,0,9.421159165301507e-12
2024-05-17,193,7,5,114,0.043859649122807015,0.6010362694300518,24,0,1.7214773036971012e-12
2024-06-17,193,7,5,113,0.061946902654867256,0.6062176165803109,22,0,4.0173533770448966e-11
2024-07-16,193,7,5,110,0.01818181818181818,0.5854922279792746,19,0,3.7469535192125904e-11
2024-08-14,193,7,4,110,0.18181818181818182,0.5854922279792746,24,0,2.6054527459129506e-13
2024-09-12,194,6,5,116,0.29310344827586204,0.6082474226804123,33,0,7.509331698130062e-13
2024-10-11,194,6,5,120,0.20833333333333334,0.6237113402061856,22,0,2.719729823297268e-13
2024-11-11,194,6,5,117,0.02564102564102564,0.6185567010309279,20,0,1.6925537577386351e-12
2024-12-10,194,6,5,114,0.3508771929824561,0.5979381443298969,33,0,1.9473615255061194e-10
2025-01-08,194,6,5,120,0.4083333333333333,0.634020618556701,34,0,8.819086953770761e-13
2025-02-06,194,6,5,122,1.0,0.6443298969072165,0,0,0.0
2025-03-07,194,6,5,117,0.05982905982905983,0.6185567010309279,4,0,1.777210366718518e-11
2025-04-07,196,4,5,102,0.00980392156862745,0.5408163265306123,10,0,3.484730646402534e-11
2025-05-06,196,4,5,104,0.009615384615384616,0.5459183673469388,10,0,1.2590117750427288e-10
2025-06-04,196,4,5,105,0.009523809523809525,0.5510204081632653,11,0,7.122210807231077e-13
