,delta_fin_minus_rest,eta2,masked_feature
idio_vol_63d,-0.5083667,0.043214804776763996,False
realized_vol_126d,-0.41923395,0.033589824321261584,False
realized_vol_21d,-0.38282293,0.030926919168611653,False
best_gross_margin_chg_252d,-0.23868781,0.02809528593515739,True
max_ret_63d,-0.33450112,0.026787895841598974,False
risk_adj_mom_252d,0.042158317,0.02629320436761503,False
fin_pb_level_z,0.16890904,0.026199983216922133,False
best_px_bps_ratio_level_z,0.16890904,0.026199983216922133,False
dist_52w_high,0.19311106,0.02420465230416715,False
fin_roe_pb_gap,0.4003008,0.022355209276473487,False
min_ret_63d,0.28784892,0.020888738160266346,False
mom_accel_63_252,0.013325112,0.017295252502114236,False
ma_cross_21_50,-0.04775199,0.016579511460492035,False
ma_cross_50_200,-0.0655955,0.015871998138805573,False
fin_pe_level_z,0.09361308,0.014227060861491973,False
momentum_252d,-0.12913632,0.012843524961393557,False
mc_vix_x_mom252,0.049445104,0.012778868496229341,False
beta_63d,-0.11570124,0.012663484443143337,False
best_gross_margin_chg_63d,-0.11258131,0.01263359639761413,True
capex_intensity_z,0.26725233,0.012456255949405658,True
cash_conversion_z,-0.189476,0.011860680956799525,True
tg_mom_63d,-0.1036257,0.01163016567997384,False
eps_rev_ma_63d,0.009062588,0.010759951832391543,False
eps_rev,0.002989765,0.01014489100402509,False
mc_slope_x_eps_rev,0.07320743,0.010134728561866474,False
mc_dxy_x_eps_rev,0.005286923,0.010134728561866474,False
mc_rate_x_eps_rev,-0.0371919,0.010134728561866474,False
sales_rev_ma_63d,-0.043700054,0.009126814014591833,False
fin_sales_chg_63d,-0.10962005,0.008607463082562545,False
best_sales_accel,0.096741326,0.008580769317262203,False
best_peg_ratio_level_z,0.0030994401,0.0084176863646496,False
eps_rev_trend,-0.025803544,0.008184589064447299,False
fin_pe_chg_63d,-0.020597782,0.008043471061900424,False
fin_pb_chg_63d,-0.013897695,0.007210604222685944,False
best_ev_to_best_ebitda_level_z,-0.056485664,0.007095914747291736,True
best_sales_chg_252d,-0.17011756,0.0069840520157509025,False
analyst_rec_level,-0.16510305,0.006543285335487877,False
analyst_rec_stability,0.07783336,0.006452524832135898,False
fin_roe_pe_gap,0.18800116,0.0062549219980939175,False
tg_upside,-0.070558004,0.005556346594494114,False
mc_vol_x_mom63,-0.07785404,0.00555543327452158,False
earnings_quality_252d,-0.06896642,0.00518939623897224,False
fin_eps_chg_63d,-0.062471427,0.0049138756786677295,False
best_eps_chg_252d,-0.10726958,0.004724064167131505,False
best_calculated_fcf_level_z,-0.08134436,0.0036308811402520013,True
oper_margin_chg_63d,0.0068114316,0.0033096730345566682,False
oper_margin_accel,0.0043107397,0.00299936954902603,False
best_capex_level_z,0.065778516,0.0026405249718856093,True
op_leverage_63d,-0.010712346,0.0024274889504300057,True
fin_roe_chg_252d,-0.03751528,0.002396722747822463,False
fin_roe_chg_63d,-0.010143191,0.002263507956867294,False
oper_margin_chg_252d,-0.030266825,0.002104635253030716,False
best_roe_level_z,0.007321122,0.001137644775447493,False
fin_roe_level_z,0.007321122,0.001137644775447493,False
fac_F_Value_mom_63d,-6.307529e-11,0.0007461609603303526,False
fac_F_Quality_mom_63d,-1.0871886e-10,0.0007449067295919705,False
fac_F_Growth_mom_63d,-2.5145165e-11,0.0006243971323931492,False
fac_yield_slope,4.115652e-10,0.0006125360902264708,False
fac_value_growth_63d,-7.0173914e-12,0.0006045873225303752,False
regime_mkt_ret_21d,-3.7862165e-11,0.00048405026376113276,False
cal_is_Q1,0.0,,False
