state_date,window_end,n_window_dates,spearman
2018-11-23,2019-02-20,63,0.13516923307270648
2019-02-20,2019-05-20,63,0.2688344048974067
2019-05-20,2019-08-15,63,0.03860647546984757
2019-08-15,2019-11-12,63,0.11467946357093224
2019-11-12,2020-02-07,63,-0.1200319921818073
2020-02-07,2020-05-06,63,0.090040759920513
2020-05-06,2020-10-29,126,-0.07761166485768833
2020-10-29,2021-01-26,63,-0.00845958625833313
2021-01-26,2022-01-13,252,0.09769902797781138
2022-01-13,2022-04-12,63,-0.15759197743398226
2022-04-12,2022-07-08,63,-0.22114556427345275
2022-07-08,2022-10-05,63,-0.08287318319981621
2022-10-05,2023-06-27,189,-0.13067552608619104
2023-06-27,2023-09-22,63,0.06521571951878631
2023-09-22,2023-12-20,63,-0.3561892458926567
2023-12-20,2024-12-06,252,-0.036667897150362457
2024-12-06,2025-03-05,63,0.16236003452987668
2025-03-05,2025-06-02,63,-0.27790509911920547
2025-06-02,2025-08-28,63,0.28617571072971637
2025-08-28,2025-11-25,63,0.19589024249455378
2025-11-25,2026-07-28,175,0.15602313284113958
