feature,n_windows,mean_ic,t,sign_consistency,sign,qualified
oper_margin_chg_63d,48,0.03994691196008999,6.889869788296843,0.8333333333333334,1,True
op_leverage_63d,48,0.036193853885954134,6.377335813192939,0.8958333333333334,1,True
oper_margin_chg_252d,48,0.035122492348004034,5.181621808835214,0.7916666666666666,1,True
beta_63d,48,-0.04510653959108161,-4.106457360383064,0.7083333333333334,-1,False
best_peg_ratio_level_z,48,-0.024837847003977537,-3.579874678071935,0.6875,-1,False
fin_pe_level_z,48,-0.028457059547936574,-2.995479093650467,0.6666666666666666,-1,False
sales_rev_ma_63d,48,0.021271736171080174,2.8767132749284126,0.625,1,False
fin_pe_chg_63d,48,-0.025691984746144297,-2.6920635362267555,0.6875,-1,False
max_ret_63d,48,-0.025367303143953846,-2.548372028055151,0.5833333333333334,-1,False
best_ev_to_best_ebitda_level_z,48,-0.02334290773832363,-2.342409277239173,0.625,-1,False
best_gross_margin_chg_63d,48,0.011842208141903475,2.2043197422566534,0.6041666666666666,1,False
fin_roe_chg_252d,48,0.01595864902799962,2.100694568273212,0.6458333333333334,1,False
fin_pb_chg_63d,48,-0.0191792312013387,-2.0991395722434887,0.6041666666666666,-1,False
fin_roe_chg_63d,48,0.012661982122673837,1.9586562660098326,0.5208333333333334,1,False
oper_margin_accel,48,-0.01105966559589342,-1.9537673834683007,0.6458333333333334,-1,False
best_sales_chg_252d,48,0.019075995416369864,1.8746283823207848,0.5416666666666666,1,False
eps_rev,48,0.013784277228638453,1.824672153416816,0.6041666666666666,1,False
fin_sales_chg_63d,48,0.018897498799020546,1.7520970860570357,0.5625,1,False
nl_fslope_rev_confirm,48,0.013126412112615398,1.728135460569882,0.5416666666666666,1,False
mc_vix_x_mom252,48,0.01358435205194882,1.6830777015394611,0.625,1,False
fin_roe_level_z,48,0.012525268258537794,1.609077529684845,0.5833333333333334,1,False
best_roe_level_z,48,0.012525268258537794,1.609077529684845,0.5833333333333334,1,False
mc_vol_x_mom63,48,0.009886483153699341,1.510696500009422,0.6041666666666666,1,False
realized_vol_126d,48,-0.018275564715685717,-1.4095079301521292,0.5833333333333334,-1,False
eps_rev_ma_63d,48,0.010511847131165477,1.3716797132928502,0.5833333333333334,1,False
best_sales_accel,48,-0.01402796381195292,-1.3696382303591523,0.5208333333333334,-1,False
best_eps_chg_252d,48,0.013465779712824253,1.2811057888341693,0.5,1,False
ma_cross_21_50,48,-0.0139188314146542,-1.2711911860856506,0.5416666666666666,-1,False
capex_intensity_z,48,0.010746598594767629,1.2576748993562559,0.5208333333333334,1,False
realized_vol_21d,48,-0.013763038190169892,-1.2023054051082178,0.5208333333333334,-1,False
fin_eps_chg_63d,48,0.011503821459582295,1.1460055726945273,0.4375,1,False
cash_conversion_z,48,0.006811689293266025,1.1413463545103582,0.6458333333333334,1,False
nl_fslope_growth_confirm,48,0.009874761550621313,1.0133048121334136,0.5416666666666666,1,False
analyst_rec_stability,48,-0.005817071145939608,-0.9472716543813111,0.5416666666666666,-1,False
best_capex_level_z,48,0.00846893575797709,0.9366850801447558,0.5208333333333334,1,False
earnings_quality_252d,48,0.006952783696336586,0.8754233796374257,0.5833333333333334,1,False
mc_slope_x_eps_rev,48,0.006497194917292402,0.8352458638382461,0.5625,1,False
analyst_rec_level,48,0.005079118592022212,0.7781938605728989,0.5416666666666666,1,False
fwd_sales_slope_level,48,-0.005667319495173181,-0.7734596682700171,0.4791666666666667,-1,False
fin_roe_pe_gap,48,0.0069951679116546095,0.7400698130717798,0.5,1,False
mc_dxy_x_eps_rev,48,-0.0045236184260831315,-0.7109277182236835,0.4791666666666667,-1,False
eps_rev_trend,48,0.0034292141981634564,0.6525811189977767,0.6041666666666666,1,False
momentum_252d,48,-0.008681509280588064,-0.6382672623873055,0.5208333333333334,-1,False
fwd_sales_slope_chg_63d,48,0.003008762955139601,0.5804764624403771,0.5416666666666666,1,False
min_ret_63d,48,0.0056167000415314515,0.5553855815910218,0.4375,1,False
mc_rate_x_eps_rev,48,0.003385709391878395,0.5260722198533314,0.5208333333333334,1,False
idio_vol_63d,48,-0.005879894394390674,-0.5069555783289856,0.5,-1,False
mom_accel_63_252,48,-0.004982088922914975,-0.490333891973634,0.5,-1,False
dist_52w_high,48,-0.005195203758641443,-0.45856254831415544,0.5416666666666666,-1,False
tg_upside,48,-0.0037100582153172315,-0.3535669494112282,0.6458333333333334,-1,False
ma_cross_50_200,48,-0.004074324301930758,-0.2993131363918384,0.5,-1,False
fin_pb_level_z,48,-0.002848757013570387,-0.27675487671700766,0.5,-1,False
best_px_bps_ratio_level_z,48,-0.002848757013570387,-0.27675487671700766,0.5,-1,False
risk_adj_mom_252d,48,-0.0028947979287161038,-0.22416304563512035,0.5416666666666666,-1,False
best_gross_margin_chg_252d,48,-0.001000952746241534,-0.13571352697011693,0.5208333333333334,-1,False
fin_roe_pb_gap,48,-0.001277026060423322,-0.11498551516391992,0.4791666666666667,-1,False
best_calculated_fcf_level_z,48,-0.000650849752091987,-0.08374368186204197,0.4791666666666667,-1,False
tg_mom_63d,48,-0.00028838463552357624,-0.022694129430183715,0.5208333333333334,-1,False
cal_is_Q1,0,,,,0,False
regime_mkt_ret_21d,0,,,,0,False
fac_F_Quality_mom_63d,0,,,,0,False
fac_F_Growth_mom_63d,0,,,,0,False
fac_F_Value_mom_63d,0,,,,0,False
fac_value_growth_63d,0,,,,0,False
fac_yield_slope,0,,,,0,False
