ticker,region,currency,exchange,corr_lag0_us,corr_stock_t_vs_us_tm1,corr_stock_t_vs_us_tp1,beta0_us,beta_lag1_us,beta_lead1_us,dimson_beta,dimson_ratio,corr_lag0_all
AAPL,US,USD,US,0.6678,-0.0842,-0.0883,1.0577,-0.1334,-0.1399,0.7845,0.7417,0.6471
MSFT,US,USD,US,0.7081,-0.0985,-0.0824,1.0732,-0.1493,-0.1249,0.799,0.7445,0.6858
GOOGL,US,USD,US,0.6521,-0.0645,-0.0683,1.0443,-0.1033,-0.1094,0.8316,0.7963,0.6372
AMZN,US,USD,US,0.5927,-0.0593,-0.0477,1.0989,-0.1099,-0.0884,0.9006,0.8195,0.5711
META,US,USD,US,0.5799,-0.0553,-0.0546,1.2247,-0.1167,-0.1154,0.9926,0.8105,0.5626
NVDA,US,USD,US,0.6574,-0.1005,-0.0509,1.7266,-0.2639,-0.1337,1.329,0.7697,0.6348
TSLA,US,USD,US,0.5075,-0.0117,-0.0634,1.6085,-0.0371,-0.201,1.3704,0.852,0.4935
PLTR,US,USD,US,0.3533,0.0101,0.0183,0.9671,0.0276,0.0502,1.0449,1.0804,0.3266
AVGO,US,USD,US,0.6617,-0.0889,-0.0494,1.4467,-0.1944,-0.1081,1.1442,0.7909,0.6449
MU,US,USD,US,0.6147,-0.07,-0.0371,1.7476,-0.1989,-0.1055,1.4431,0.8258,0.6093
GEV,US,USD,US,0.2411,-0.0237,-0.0121,0.3169,-0.0312,-0.016,0.2698,0.8513,0.2261
VRT,US,USD,US,0.499,-0.0058,-0.0318,1.2371,-0.0145,-0.0788,1.1439,0.9246,0.4872
BE,US,USD,US,0.4044,-0.0141,-0.0067,1.7884,-0.0623,-0.0297,1.6964,0.9486,0.3953
LITE,US,USD,US,0.4776,-0.0542,-0.0372,1.4397,-0.1635,-0.112,1.1642,0.8086,0.4622
000660,ASIA,KRW,KS,0.134,0.1819,0.0069,0.3304,0.4486,0.0171,0.7961,2.4096,0.2013
005930,ASIA,KRW,KS,0.1277,0.1884,0.0135,0.2328,0.3433,0.0245,0.6006,2.58,0.1943
UNH,US,USD,US,0.4388,-0.0383,-0.0652,0.7054,-0.0616,-0.1047,0.539,0.7641,0.4363
LLY,US,USD,US,0.3703,-0.0401,-0.0738,0.603,-0.0654,-0.1201,0.4175,0.6924,0.364
ISRG,US,USD,US,0.646,-0.0299,-0.0822,1.1671,-0.0541,-0.1485,0.9645,0.8264,0.6304
ABBV,US,USD,US,0.405,-0.0089,-0.0651,0.6013,-0.0132,-0.0967,0.4914,0.8172,0.3972
REGN,US,USD,US,0.3802,-0.0803,-0.0352,0.7062,-0.1491,-0.0654,0.4918,0.6963,0.3642
JPM,US,USD,US,0.7025,-0.0505,-0.0721,1.0369,-0.0745,-0.1064,0.856,0.8255,0.7168
V,US,USD,US,0.7209,-0.0687,-0.0887,0.9701,-0.0924,-0.1193,0.7583,0.7817,0.719
MA,US,USD,US,0.7334,-0.0621,-0.0692,1.0734,-0.0909,-0.1013,0.8812,0.821,0.7312
BLK,US,USD,US,0.7878,-0.0634,-0.0675,1.1853,-0.0954,-0.1016,0.9883,0.8338,0.7869
SPGI,US,USD,US,0.7003,-0.0631,-0.0835,1.0027,-0.0904,-0.1196,0.7927,0.7906,0.6947
GS,US,USD,US,0.7351,-0.0456,-0.0459,1.1808,-0.0732,-0.0738,1.0338,0.8755,0.7451
COST,US,USD,US,0.516,-0.0629,-0.0487,0.6097,-0.0743,-0.0576,0.4778,0.7836,0.491
HD,US,USD,US,0.6684,-0.0638,-0.0521,0.8953,-0.0855,-0.0698,0.74,0.8266,0.6572
PG,US,USD,US,0.407,-0.077,-0.0657,0.4156,-0.0787,-0.0671,0.2698,0.6492,0.3975
MCD,US,USD,US,0.5164,-0.0515,-0.0764,0.5711,-0.057,-0.0844,0.4296,0.7523,0.5197
WMT,US,USD,US,0.3634,-0.0535,-0.046,0.4354,-0.0642,-0.0551,0.3161,0.7261,0.3463
CAT,US,USD,US,0.6335,-0.0397,-0.0504,1.0694,-0.067,-0.085,0.9174,0.8579,0.6407
HON,US,USD,US,0.7072,-0.0415,-0.0601,0.9071,-0.0532,-0.0771,0.7767,0.8563,0.7085
DE,US,USD,US,0.5714,-0.0451,-0.0509,0.9255,-0.0731,-0.0824,0.77,0.832,0.5732
UNP,US,USD,US,0.6224,-0.0504,-0.0569,0.8682,-0.0703,-0.0794,0.7185,0.8276,0.623
LMT,US,USD,US,0.4025,-0.0068,-0.0553,0.5147,-0.0087,-0.0708,0.4353,0.8456,0.4041
ETN,US,USD,US,0.7193,-0.0487,-0.067,1.1847,-0.0802,-0.1104,0.9941,0.8391,0.7196
XOM,US,USD,US,0.4937,-0.0512,-0.0475,0.7415,-0.077,-0.0714,0.5932,0.8,0.4995
LNG,US,USD,US,0.4317,-0.0375,-0.0557,0.8289,-0.072,-0.1069,0.65,0.7841,0.4313
