feature,nan_pct,zero_exact_pct,sat_abs_ge_4_99_pct,abs_ge_3_pct,mean,std,p01,p50,p99,min,max,dates_cs_std_lt_0_05_pct,dates_cs_std_eq_0_pct,median_cs_std,median_cs_count,dates_zero_frac_gt_50_pct,n_tickers_pinned_abs_med_gt_2,n_tickers_std_lt_0_15,median_lag1_autocorr_50tk,late_entrant_ramp_ratio_median,late_entrant_ramp_absmean_median
best_eps_chg_252d,0.0,7.6759,0.6369,1.1631,-0.025,0.6327,-1.2132,-0.0814,2.9748,-5.0,5.0,7.6759,7.6759,0.6263,250.0,7.6759,0,31,0.9865,,
best_sales_chg_252d,0.0,7.6759,0.4212,1.1781,-0.0203,0.8467,-1.8074,-0.1148,3.0651,-5.0,5.0,7.6759,7.6759,0.9032,250.0,7.6759,0,3,0.9985,,
best_sales_accel,0.0,1.919,0.5095,1.6426,0.0141,0.841,-3.1204,0.0793,2.4084,-5.0,5.0,1.919,1.919,0.8786,250.0,1.919,0,1,0.989,,
best_calculated_fcf_level_z,0.0,7.6454,0.0842,0.5469,0.027,0.8609,-2.467,0.147,1.8079,-5.0,5.0,7.6454,7.6454,0.8938,250.0,7.6454,0,17,0.9914,,
best_gross_margin_chg_63d,0.0,1.919,0.8113,1.667,-0.0156,0.712,-2.4138,-0.0424,2.7808,-5.0,5.0,1.919,1.919,0.7359,250.0,1.919,0,69,0.9829,,
best_gross_margin_chg_252d,0.0,7.6759,0.7207,1.4654,-0.0252,0.6861,-2.1047,-0.0642,2.7454,-5.0,5.0,7.6759,7.6759,0.7179,250.0,7.6759,0,84,0.9947,,
oper_margin_chg_63d,0.0,1.9799,0.7904,1.2668,-0.0162,0.6197,-1.3958,-0.0623,2.4561,-5.0,5.0,1.9799,1.9799,0.621,250.0,1.9799,0,72,0.9774,,
oper_margin_chg_252d,0.0,7.6759,0.6606,1.1416,-0.0181,0.5809,-1.1717,-0.0655,2.0954,-5.0,5.0,7.6759,7.6759,0.576,250.0,7.6759,0,82,0.9835,,
oper_margin_accel,0.0,2.6196,0.7475,1.1978,0.0142,0.5924,-2.2582,0.0505,1.3119,-5.0,5.0,2.6196,2.6196,0.5737,250.0,2.6196,0,65,0.9672,,
best_capex_level_z,0.0,7.6454,0.0604,0.3408,-0.0217,0.869,-2.0206,-0.1223,2.2304,-5.0,5.0,7.6454,7.6454,0.8955,250.0,7.6454,0,15,0.9942,,
best_roe_level_z,0.0,0.0,0.7825,1.7103,-0.0144,0.7304,-2.5036,-0.0716,2.9329,-5.0,5.0,0.0,0.0,0.7527,250.0,0.0,1,157,0.9887,,
best_peg_ratio_level_z,0.0,7.6454,0.2153,1.0214,-0.014,0.8836,-1.7642,-0.1048,2.87,-5.0,5.0,7.6454,7.6454,0.9287,250.0,7.6454,0,4,0.9847,,
best_px_bps_ratio_level_z,0.0,7.6454,0.0776,0.3706,0.0014,0.9019,-2.0495,0.0,2.2301,-5.0,5.0,7.6454,7.6454,0.935,250.0,7.6454,0,1,0.9903,,
best_ev_to_best_ebitda_level_z,0.0,7.6454,0.0785,0.3878,0.0046,0.8711,-2.0771,0.0,2.1407,-5.0,5.0,7.6454,7.6454,0.8992,250.0,7.6454,0,11,0.9887,,
earnings_quality_252d,0.0,7.6759,0.6578,1.1449,-0.0237,0.6096,-1.2388,-0.0718,2.8208,-5.0,5.0,7.6759,7.6759,0.5997,250.0,7.6759,0,54,0.9872,,
op_leverage_63d,0.0,1.919,0.7515,1.2125,-0.0168,0.6084,-1.3911,-0.0619,2.283,-5.0,5.0,1.919,1.919,0.597,250.0,1.919,0,79,0.9722,,
cash_conversion_z,0.0,0.0,0.6443,1.7221,-0.0208,0.7368,-2.2503,-0.0572,3.0592,-5.0,5.0,0.0,0.0,0.7284,250.0,0.0,2,101,0.9848,,
capex_intensity_z,0.0,0.0,0.4986,2.1428,0.0462,0.8123,-3.8525,0.2704,0.7667,-5.0,0.8624,0.0,0.0,0.8949,250.0,0.0,9,132,0.9983,,
momentum_252d,0.0,7.6454,0.1573,1.1789,-0.0044,0.912,-2.1038,-0.0091,2.9534,-5.0,5.0,7.6454,7.6454,0.9446,250.0,7.6454,0,1,0.9931,,
risk_adj_mom_252d,0.0,7.6454,0.0,0.2419,0.0009,0.9201,-2.2364,0.0,2.2492,-4.6758,4.3445,7.6454,7.6454,0.9528,250.0,7.6454,0,1,0.9933,,
realized_vol_21d,0.0,0.6092,0.2872,1.5821,-0.0209,0.933,-1.3151,-0.2352,3.5188,-2.4887,5.0,0.6092,0.6092,0.9446,250.0,0.6092,1,1,0.9627,,
realized_vol_126d,0.0,3.8075,0.233,1.4912,-0.0194,0.9293,-1.3168,-0.2245,3.4711,-2.2835,5.0,3.8075,3.8075,0.9455,250.0,3.8075,3,2,0.9963,,
ma_cross_21_50,0.0,1.4925,0.1378,1.1474,-0.0002,0.9461,-2.4777,0.0,2.655,-5.0,5.0,1.4925,1.4925,0.9533,250.0,1.4925,0,0,0.9971,,
ma_cross_50_200,0.0,6.0615,0.1221,1.0779,-0.0021,0.9221,-2.239,0.0,2.7828,-5.0,5.0,6.0615,6.0615,0.9494,250.0,6.0615,0,1,0.9997,,
dist_52w_high,0.0,3.8075,0.1363,1.3535,0.0224,0.9376,-3.2448,0.2664,1.2726,-5.0,2.4718,3.8075,3.8075,0.9565,250.0,3.8075,0,0,0.9837,,
max_ret_63d,0.0,1.8885,0.5005,1.7728,-0.0277,0.8985,-1.1218,-0.2667,3.8204,-1.8797,5.0,1.8885,1.8885,0.9191,250.0,1.8885,0,2,0.9807,,
min_ret_63d,0.0,1.8885,0.3985,1.8004,0.0236,0.9169,-3.6975,0.2439,1.2277,-5.0,2.1304,1.8885,1.8885,0.9274,250.0,1.8885,0,0,0.9815,,
beta_63d,0.0,1.8885,0.0495,0.6284,-0.005,0.9489,-2.0025,-0.0688,2.703,-4.6994,5.0,1.8885,1.8885,0.9593,250.0,1.8885,0,0,0.9901,,
idio_vol_63d,0.0,3.777,0.2572,1.606,-0.0217,0.9204,-1.2425,-0.2373,3.5048,-2.1634,5.0,3.777,3.777,0.939,250.0,3.777,1,2,0.9901,,
analyst_rec_level,0.0,0.0,0.0001,0.6165,0.0067,0.9608,-2.7677,0.1003,1.7134,-5.0,1.895,0.0,0.0,0.9633,250.0,0.0,1,1,0.9976,,
analyst_rec_stability,0.0,0.6092,0.328,1.4344,-0.0215,0.9092,-1.2974,-0.1977,3.4375,-1.5309,5.0,0.6092,0.6092,0.9349,250.0,0.6092,0,0,0.9977,,
