ticker,best_eps_chg_252d,best_sales_chg_252d,best_sales_accel,best_calculated_fcf_level_z,best_gross_margin_chg_63d,best_gross_margin_chg_252d,oper_margin_chg_63d,oper_margin_chg_252d,oper_margin_accel,best_capex_level_z,best_roe_level_z,best_peg_ratio_level_z,best_px_bps_ratio_level_z,best_ev_to_best_ebitda_level_z,earnings_quality_252d,op_leverage_63d,cash_conversion_z,capex_intensity_z,momentum_252d,risk_adj_mom_252d,realized_vol_21d,realized_vol_126d,ma_cross_21_50,ma_cross_50_200,dist_52w_high,max_ret_63d,min_ret_63d,beta_63d,idio_vol_63d,analyst_rec_level,analyst_rec_stability,tg_upside,tg_mom_63d,eps_rev,eps_rev_ma_63d,eps_rev_trend,sales_rev_ma_63d,cal_is_Q1,regime_mkt_ret_21d,fac_F_Quality_mom_63d,fac_F_Growth_mom_63d,fac_F_Value_mom_63d,fac_value_growth_63d,fac_yield_slope,mc_rate_x_eps_rev,mc_slope_x_eps_rev,mc_vix_x_mom252,mc_vol_x_mom63,mc_dxy_x_eps_rev,mom_accel_63_252,fin_roe_level_z,fin_roe_chg_63d,fin_roe_chg_252d,fin_pb_level_z,fin_pb_chg_63d,fin_pe_level_z,fin_pe_chg_63d,fin_eps_chg_63d,fin_sales_chg_63d,fin_roe_pb_gap,fin_roe_pe_gap,fwd_sales_slope_level,fwd_sales_slope_chg_63d,nl_fslope_rev_confirm,nl_fslope_growth_confirm
000660,0.09072495,0.61996126,-0.4348726,0.0,0.1955673,0.30272114,-0.05871711,0.0,0.047079753,-0.45572808,-0.052625332,-0.45528486,-0.29969633,-0.5127811,0.0,-0.07046738,-0.17537932,-2.195527,0.0674705,-0.033052348,0.94808966,1.0586275,0.040263772,0.0,-0.44168976,0.44120565,-0.35691836,-0.70837355,1.4872048,1.341281,-0.5268398,0.45785698,0.11810182,0.21204045,0.11405159,-0.0032988351,0.51571727,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.2045663,0.006040956,0.0,0.07779886,-0.047417402,0.0,-0.052625332,-0.020807726,-0.044601258,-0.29969633,-0.070291325,-0.6149973,-0.17430565,0.14150837,0.545818,1.37165,1.1538,0.0056388834,0.0,0.46658444,0.4190874
005930,-0.06901877,-0.18894085,0.08468694,-0.32870153,0.0448632,0.0,-0.053551137,-0.019772327,0.049740855,-0.30179995,-0.13739254,-0.42808387,-0.17533992,-0.032974213,-0.04102815,-0.057734273,-0.2744812,-0.74826777,-0.09385183,-0.14499177,0.1671872,0.027712313,0.0,-0.05907846,-0.23996976,-0.097188696,0.2564009,-0.9614866,0.47556114,1.3356371,-0.73317224,0.80447704,-0.00064158207,-0.33301878,-0.37584484,0.0,-0.36294338,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.014515837,-0.0091278255,0.0,0.024678448,-0.039143275,0.06685957,-0.13739254,-0.0108158495,-0.06735904,-0.17533992,-0.073589504,-0.1277262,-0.08534026,-0.021922141,-0.10214177,0.6775739,0.44352353,-0.026557885,0.0033953185,-0.06611614,-0.08396456
285A,-0.093238465,-0.13345633,0.08348512,0.17252943,-0.036353536,-0.06498671,-0.06336549,-0.07519186,0.053799067,-0.15147522,-0.08656402,-0.15860155,0.017913956,0.013651268,-0.072010875,-0.0676076,-0.0535752,0.30742216,-0.04812985,0.010035495,-0.22689945,-0.23681802,0.0,-0.018776875,0.2908666,-0.2669935,0.23938568,-0.08418141,-0.2425752,0.10016932,-0.1940704,-0.14964226,-0.091475904,0.019605981,0.016246472,0.0061796824,-0.006320445,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.006611042,-0.0025193465,0.005611159,0.015633577,-0.0023734034,0.0,-0.08656402,-0.021025768,-0.07128437,0.017913956,-0.0779542,0.027090272,-0.052142836,-0.06863062,-0.083349735,0.20367658,0.08602467,-0.0077624433,-0.0041240645,0.3132806,0.15200391
4063,-0.034756266,-0.12003912,0.0946187,0.21293874,0.0,0.0,-0.06347025,-0.06526644,0.05148408,-0.41034386,-0.15303926,-0.27099636,0.0,-0.18631074,-0.023843845,-0.060912464,-0.2358504,-0.6043726,-0.0051950356,-0.029483793,-0.009807929,-0.017639972,-0.13003956,-0.14374402,-0.0005890679,-0.1365302,0.13384141,-1.1588014,0.30417362,0.61840373,-0.08424851,0.053978268,-0.08707926,0.05257313,0.0038465515,0.06215909,0.014677319,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.0,-0.23389973,0.0,0.0,0.13545965,0.0,-0.15303926,-0.021576783,-0.036291596,0.0,-0.08048924,-0.34558848,-0.07274989,-0.04891225,-0.097150356,0.11375623,-0.29561907,-0.016379643,-0.008886521,0.2923283,0.05053132
6146,0.0,0.06059203,-0.12091675,0.24475823,0.020041743,0.0,-0.056922976,-0.052269585,0.049740855,-0.19717117,-0.10676349,-0.117957905,0.041827206,0.0,-0.053468075,-0.06036831,-0.11919747,0.09726645,0.427978,0.23127742,0.76234007,0.96088076,0.23876476,0.27426752,0.043241136,0.45107263,-0.32468852,-1.0548096,1.2862513,-0.39442775,0.31284285,-0.42790082,0.17595786,0.19905402,0.22657345,0.031313945,0.47563025,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.07997309,-0.07068441,-0.0060323454,0.047861733,0.0024009214,-0.04297671,-0.10676349,-0.0169893,-0.055564348,0.041827206,-0.057805527,0.0,-0.022077193,0.0,0.1451221,0.019289207,-0.38155937,0.0,0.0,0.4257371,0.11420886
6758,-0.064263925,-0.29987973,0.19738303,0.3255204,-0.0063172122,0.0,-0.049151167,-0.034990184,0.04256631,-0.19907871,-0.14837946,-0.21015541,0.0,0.17359804,0.0,-0.05262689,0.1150539,0.20988873,0.0,0.0,0.061887156,0.12275492,0.051726315,0.04709471,0.0,0.0,0.14247026,-1.0756146,0.4140577,0.8520299,-0.21396229,-0.14171402,0.0,0.23303954,0.24547753,0.0737634,0.16077422,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.035593964,0.042304978,0.0,0.011756314,-0.004195374,0.0,-0.14837946,-0.00051641127,-0.040051255,0.0,-0.0673994,-0.40623754,-0.10125609,0.0,-0.22194754,0.13868418,-0.28918073,-0.05268514,-0.0061567044,0.0,-0.032511882
6857,0.11835457,0.35296297,-0.27197427,0.55700284,-0.02749903,0.0,-0.04883859,0.0,0.03734333,0.0,-0.046222117,-0.44321138,0.27704746,-0.118806,0.062314946,-0.046108667,-0.040531006,0.38264033,0.6533011,0.16900551,0.93387175,1.1089656,0.24033624,0.29374862,-0.18702906,0.4480439,-0.4217886,-0.7970685,1.4681389,-0.40595227,0.30528495,-0.5812246,0.45626733,0.4269753,0.48800236,0.03035459,0.59639096,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.046335097,-0.036988392,-0.067972295,0.24875532,0.21953031,-0.026979236,-0.046222117,0.020605147,0.0036369578,0.27704746,-0.06367466,-0.3003785,-0.14856265,0.14248797,0.39058036,0.027503267,-0.28347507,0.0,0.0,0.4886084,0.4336133
6981,-0.11853256,-0.3050484,0.10934206,-0.06181695,0.00942217,-0.0127245635,-0.036078632,-0.073217675,0.036588363,0.0,-0.15247205,-0.0360571,-0.40478474,-0.12504455,-0.0827563,-0.033546988,-0.22696376,-0.5005565,-0.29523006,-0.42515028,0.18261983,0.28592283,-0.16008992,-0.22877212,-0.23558941,0.048892777,0.14355592,-1.0782784,0.52504206,0.60937595,-0.060550768,0.12205323,-0.19906911,-0.15250349,-0.13581455,0.018796403,-0.269449,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,-0.007987673,0.0,0.0,0.025914257,0.112001225,0.05781534,-0.15247205,-0.013744884,-0.074180506,-0.40478474,-0.08458722,-0.0925898,-0.06577226,-0.053878594,-0.13960145,0.047002405,-0.41056365,-0.008974018,0.0,0.07851255,0.0
7011,-0.026209733,-0.40320054,0.18959713,0.0,0.0,0.0,-0.037969265,-0.06108592,0.036127843,-0.108922884,-0.20000926,-0.24063823,0.0,0.08285185,-0.009045632,-0.02734443,-0.06864762,0.33315057,-0.28019702,-0.35348874,0.05895461,0.08049372,-0.16450538,-0.007590429,-0.08089526,-0.0050724177,0.13053925,-1.3348597,0.4432192,0.0817303,0.026578417,-0.010092094,-0.089763775,-0.2320271,-0.2776245,-0.035423756,-0.1323615,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,-0.004283232,-0.00906528,0.024145292,0.08013677,0.07103251,0.018465854,-0.20000926,-0.02861646,-0.06147478,0.0,-0.06772585,0.0,-0.062401004,0.0022848335,-0.19256763,0.15472278,-0.38413057,-0.015843056,-0.0055774646,0.020894902,-0.07723201
7203,-0.10000604,-0.26137036,0.17020224,-0.021291211,-0.07489431,-0.099207886,-0.05966259,-0.053812776,0.04829863,-0.31530702,-0.16489457,-0.44324833,-0.34384316,0.0,-0.08740873,-0.054174315,-0.17156854,0.26672086,-0.27333894,-0.23004746,-0.30277655,-0.36320618,-0.063740425,-0.11434168,0.22972123,-0.30168003,0.4280519,-1.2572565,0.0,0.20985426,-0.027698187,0.33014745,-0.13783172,0.06868051,0.013413555,0.10347172,0.18395749,0.0,0.021236973,0.04195329,0.04920171,0.031752918,-0.016480274,0.5252,0.049983285,0.0,0.031517964,0.021824306,0.0053629214,0.08128401,-0.16489457,-0.04009796,-0.08091658,-0.34384316,-0.07485701,0.0,-0.041609224,-0.056967415,-0.17597353,0.595063,0.3668673,-0.022245858,-0.008240291,0.25699025,0.0
