ticker,best_eps_chg_252d,best_sales_chg_252d,best_sales_accel,best_calculated_fcf_level_z,best_gross_margin_chg_63d,best_gross_margin_chg_252d,oper_margin_chg_63d,oper_margin_chg_252d,oper_margin_accel,best_capex_level_z,best_roe_level_z,best_peg_ratio_level_z,best_px_bps_ratio_level_z,best_ev_to_best_ebitda_level_z,earnings_quality_252d,op_leverage_63d,cash_conversion_z,capex_intensity_z,momentum_252d,risk_adj_mom_252d,realized_vol_21d,realized_vol_126d,ma_cross_21_50,ma_cross_50_200,dist_52w_high,max_ret_63d,min_ret_63d,beta_63d,idio_vol_63d,analyst_rec_level,analyst_rec_stability,tg_upside,tg_mom_63d,eps_rev,eps_rev_ma_63d,eps_rev_trend,sales_rev_ma_63d,cal_is_Q1,regime_mkt_ret_21d,fac_F_Quality_mom_63d,fac_F_Growth_mom_63d,fac_F_Value_mom_63d,fac_value_growth_63d,fac_yield_slope,mc_rate_x_eps_rev,mc_slope_x_eps_rev,mc_vix_x_mom252,mc_vol_x_mom63,mc_dxy_x_eps_rev,mom_accel_63_252,fin_roe_level_z,fin_roe_chg_63d,fin_roe_chg_252d,fin_pb_level_z,fin_pb_chg_63d,fin_pe_level_z,fin_pe_chg_63d,fin_eps_chg_63d,fin_sales_chg_63d,fin_roe_pb_gap,fin_roe_pe_gap,fwd_sales_slope_level,fwd_sales_slope_chg_63d,nl_fslope_rev_confirm,nl_fslope_growth_confirm
000660,1.8415555,2.352877,2.1371615,1.1388804,1.9492946,1.9273576,0.5279246,0.79572487,0.43897608,0.8753678,0.19305669,0.94147915,0.90578306,1.1497606,1.5550131,0.49123514,0.6797351,1.067039,1.294842,0.98492944,0.8654384,0.7044784,1.3494763,1.3392771,1.006976,0.58069897,0.74011576,0.92720246,0.7126721,0.2523731,0.6202892,0.8339737,1.3778294,1.0640595,1.1139286,0.9980911,1.2558274,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.435149,1.490629,1.4872861,1.8895792,1.4219599,1.0607575,0.19305669,0.77555627,0.9437939,0.90578306,0.5472467,1.1119643,1.8611836,1.9630208,2.2983603,0.8627375,1.2366344,1.1834496,1.1157792,1.3913763,1.8007842
005930,0.9957707,0.718417,0.8743352,1.0909647,0.81995946,0.72118104,0.18260993,0.36061972,0.15984263,0.8543513,0.10579081,0.90004027,0.8608948,0.8001223,0.9859063,0.16691351,0.2338159,0.38219905,0.9578421,1.0813552,0.76132834,0.60117835,0.98778605,0.9935127,0.8618494,0.56353784,0.7182715,0.8243565,0.6066808,0.12781075,0.37881395,0.75529826,0.98651004,1.0174794,1.0124263,1.2366303,0.96623725,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.481936,1.4662417,1.1259041,0.9128061,1.4043037,0.9665799,0.10579081,0.37778875,0.890904,0.8608948,0.4153584,1.072801,0.8942326,1.2504311,0.8966793,0.5555925,0.6956187,0.9035949,1.0166142,0.9787609,0.98654085
285A,1.0781623,1.0908055,1.0522336,0.32908747,0.9837965,1.0208346,0.10697472,0.29455537,0.103856385,0.18243384,0.2297211,0.09681368,0.19588228,0.18888786,1.0556763,0.09807604,0.15514712,0.3176399,1.1264418,0.55624413,1.1666903,1.1666315,1.0428941,1.1863416,0.39950904,0.8780298,0.9017884,0.52589625,1.2279781,0.6916381,0.96007353,0.774166,1.3069232,0.28328678,0.25684315,0.29679263,0.31961632,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,0.39423162,0.3977067,0.98746365,1.4306959,0.3515867,0.076417394,0.2297211,0.39318603,0.891579,0.19588228,0.6516181,0.17890804,0.76574033,1.4945825,1.0969857,0.47707775,0.6078632,0.3316646,0.61000323,0.39213797,0.37783667
4063,0.19690266,0.4791297,0.46400374,0.87240624,0.4391638,0.3793465,0.08803498,0.111813426,0.083872214,0.74315375,0.11539998,0.8107427,0.65434897,0.71288735,0.17828499,0.10022566,0.08680033,0.32326382,0.64797395,0.7692588,0.60423285,0.41616213,0.75146943,0.6836029,0.73528105,0.6702444,0.6000494,0.66731423,0.5154789,0.5433898,0.79801065,0.58829665,0.638194,0.7949038,0.8239295,0.6750856,0.83833116,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.1045271,1.003803,0.8533599,0.5046066,1.0136178,0.8936458,0.11539998,0.085711576,0.101779856,0.65434897,0.3745976,0.7673029,0.61003244,0.24345575,0.48404986,0.31068462,0.5537704,0.20985948,0.24154164,0.6064463,0.38474604
6146,0.43609327,0.89503753,0.8542444,0.85808015,0.3262578,0.28516072,0.08450604,0.100085504,0.07788753,0.9740104,0.104653575,0.974259,0.85500556,0.86119723,0.2536803,0.08638682,0.13269559,0.2522638,1.1692123,0.95750886,0.8973932,0.75870365,1.1997933,1.2109808,1.1544774,0.86460793,0.7429483,0.9339456,0.8225721,0.7193287,0.9809183,0.80332774,1.3460634,0.8569935,0.8876103,0.7677845,0.9610395,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.1507834,1.2023228,1.48028,1.5728204,1.1403372,1.0573301,0.104653575,0.14460018,0.18711792,0.85500556,0.630537,0.90815765,0.91119426,0.40958142,0.8936584,0.25358358,0.3678115,0.41766664,0.5499725,0.6735004,0.68563646
6758,1.0707034,0.27745783,0.4162364,0.7943234,1.1302673,0.5256101,0.6584051,0.36894378,0.5567268,0.71327776,0.15531503,0.8115794,0.66623664,0.7573141,1.0668858,0.6580177,1.1564204,0.07170009,0.7487808,0.75560397,0.7866966,0.74283105,0.92700267,0.8609104,0.7025642,0.862755,0.7888255,0.6643986,0.76253074,0.42033654,0.90378296,0.636514,0.91251314,0.84893006,0.829816,0.94171566,0.79547024,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.1941909,1.1937115,0.9564141,0.8784386,1.1470739,1.049534,0.15531503,0.8744292,1.009915,0.66623664,0.42272153,0.749593,1.3338697,1.1719635,0.4194546,0.32214308,0.7013457,0.48373002,0.6261947,0.6253452,0.504343
6857,0.94902766,0.8448613,0.9002438,0.6773857,0.3755373,0.3293711,0.7159329,0.43311653,0.5916847,0.97758496,0.20823823,0.94519156,0.86494327,0.8297492,0.8576576,0.71578735,0.19157936,0.13179508,1.2750071,0.93747973,0.8514026,0.7369878,1.4086105,1.2779677,0.91238,1.0803837,0.8648642,1.0580349,0.86552227,1.4630734,1.1647456,0.8312511,1.3380208,0.97724795,0.9513279,1.0724722,0.9325234,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.3831327,1.3436385,1.6131223,1.7182001,1.2765815,1.1590718,0.20823823,0.46091864,0.6234414,0.86494327,0.64221287,0.828423,1.2753673,1.0035335,0.92249215,0.46942356,0.8542814,0.5240563,0.58985406,0.6732769,0.6791949
6981,0.38945064,0.5607561,0.62346804,0.9932769,0.63524556,0.62209004,0.7142261,0.7242894,0.5875742,0.90145844,0.06431586,0.97339994,0.8719896,0.83337045,0.3316882,0.7128197,0.16762304,0.35295078,0.8416356,0.9627879,0.88812315,0.8069401,1.0773807,0.959979,0.90705866,0.7478534,1.0377008,0.820827,0.8574326,0.5748198,1.0135789,0.7842514,1.2386783,0.9840548,1.0148461,0.9367142,1.0546485,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.3731164,1.4550759,1.0196662,1.1449522,1.3107723,0.9625136,0.06431586,0.18400547,0.18402284,0.8719896,0.644559,0.8294836,0.89665467,0.64991283,0.6568962,0.29351935,0.43997458,0.19364966,0.24597621,0.6227792,0.46742907
7011,0.528745,0.45530573,0.43366408,1.0496376,1.0813488,0.8668457,1.2626054,1.2053353,1.0497139,0.997904,0.105590284,0.8483651,1.2096719,1.1475931,0.5557416,1.2558806,0.32200044,0.08490266,1.28717,1.2999781,0.80787086,0.7798161,1.0454777,1.2052958,1.0747914,0.7683492,0.5784666,0.7601067,0.8072433,1.2343271,1.0805323,0.8797869,1.2348198,0.765731,0.7512129,0.840162,0.8743929,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.0935385,1.1948119,1.4710103,1.0578965,1.0638074,1.0398223,0.105590284,0.21177919,0.30658677,1.2096719,0.5611333,1.0913743,1.1139295,0.79402965,0.46423125,0.34218892,0.57041967,0.1600089,0.23033535,0.66251284,0.42622653
7203,0.2709993,0.35806295,0.3986789,0.8199525,0.6965981,0.49311757,0.7105568,0.7278956,0.58324146,0.71534294,0.06896348,0.8430954,0.8259582,0.8832167,0.25229862,0.71083343,0.10201237,0.055912476,0.4944904,0.67956656,0.59189385,0.5164603,0.6842442,0.61469734,0.6765994,0.5666389,0.55251014,0.6512973,0.50143546,0.6811468,0.8245963,0.58209735,0.71187794,0.9006491,0.8896093,0.97205645,0.688568,0.43312263,0.04578044,0.06332915,0.07710403,0.06423172,0.057236128,0.73000133,1.2253972,1.2820337,0.70384175,0.4825765,1.2579509,0.8828822,0.06896348,0.15981263,0.13920374,0.8259582,0.393617,0.8163979,0.53801113,0.44588044,0.40823695,0.2090187,0.22145022,0.28330764,0.24114309,0.4432287,0.36831576
