ticker,date,d_log_shares,d_log_unadj_adj,tg_un_before,tg_un_after,log_ratio_jump,n_before,n_after
RTX,2020-04-03,0.56,-0.528,0.658,1.26,0.65,129,129
DELL,2021-11-02,-0.681,0.0,2.284,1.203,-0.641,128,129
WMB,2016-03-10,-0.0,-0.036,1.592,1.131,-0.342,128,129
ENEL,2023-01-23,0.001,-0.036,1.55,1.209,-0.248,128,130
DHR,2016-07-05,-0.277,0.0,1.398,1.114,-0.227,128,129
T,2022-04-11,-0.0,-0.281,0.927,1.16,0.224,128,130
PUB,2020-09-07,-0.002,-0.039,1.348,1.081,-0.221,128,130
GM,2024-01-30,-0.171,0.0,1.479,1.19,-0.217,128,129
ASM,2018-08-01,-0.104,-0.0,1.112,1.372,0.211,128,129
ASM,2018-08-07,0.004,-0.085,1.115,1.372,0.208,128,129
UCG,2022-04-19,0.001,-0.058,1.227,1.506,0.205,128,129
HSBA,2016-06-24,-0.084,-0.0,1.143,0.937,-0.198,129,129
CRWD,2020-05-22,-0.167,0.0,1.303,1.096,-0.173,129,129
NOVOB,2026-03-27,-0.002,-0.034,1.249,1.061,-0.164,129,115
CS,2022-05-06,0.001,-0.064,1.112,1.309,0.163,129,129
RIO,2023-03-09,0.01,-0.032,0.987,1.156,0.158,128,129
ALV,2022-05-05,-0.008,-0.051,1.169,1.367,0.157,128,129
UCG,2016-04-18,0.003,-0.036,1.28,1.494,0.154,128,130
BNP,2018-05-30,0.011,-0.054,1.136,1.325,0.153,128,129
BNP,2022-05-23,0.012,-0.071,1.213,1.408,0.149,128,130
ASM,2019-07-24,-0.094,0.0,1.138,0.981,-0.148,128,129
RIO,2016-02-25,0.008,-0.04,1.234,1.074,-0.139,128,129
UBSG,2018-05-07,-0.003,-0.04,1.043,1.198,0.138,128,130
9432,2015-11-13,-0.081,0.001,1.036,1.19,0.138,129,129
UCG,2017-02-27,-0.098,-0.0,1.229,1.072,-0.137,128,130
UCG,2022-07-20,-0.082,0.0,1.536,1.345,-0.132,128,129
MUV2,2015-04-24,0.005,-0.041,0.943,1.073,0.129,129,129
ABBN,2018-04-04,-0.002,-0.036,1.005,1.142,0.128,128,129
PUB,2025-07-01,0.002,-0.038,1.173,1.331,0.126,128,129
ENEL,2022-07-18,0.006,-0.039,1.38,1.563,0.125,128,130
CFR,2022-09-21,-0.002,-0.032,1.283,1.135,-0.123,128,129
DTE,2015-05-22,-0.009,-0.03,0.938,1.059,0.121,129,129
ROP,2024-03-14,-0.006,-0.041,1.236,1.102,-0.114,128,129
NOVN,2018-03-06,-0.001,-0.036,1.03,1.149,0.109,128,129
KLAC,2014-11-26,0.0,-0.218,0.985,1.096,0.107,128,129
ZURN,2020-04-03,0.002,-0.062,0.99,1.099,0.104,129,129
SU,2019-04-30,0.003,-0.031,1.128,1.02,-0.101,128,129
TSM,2018-06-25,0.0,-0.035,1.01,1.118,0.101,128,130
MUV2,2020-04-30,-0.022,-0.045,0.93,1.028,0.099,128,129
CS,2018-05-03,0.003,-0.054,1.108,1.223,0.099,128,129
MUV2,2022-04-29,0.004,-0.047,1.128,1.244,0.098,129,129
HSBA,2024-03-07,0.006,-0.041,1.277,1.16,-0.096,128,129
BNP,2016-06-02,-0.003,-0.048,1.239,1.126,-0.096,128,129
MCK,2020-03-11,-0.091,-0.0,1.086,1.193,0.094,128,129
8316,2020-03-30,0.002,-0.035,1.326,1.456,0.094,128,130
NOVN,2020-03-03,0.003,-0.037,1.074,1.178,0.093,128,129
HSBA,2024-05-09,0.002,-0.035,1.251,1.141,-0.092,128,129
UCG,2023-04-24,0.005,-0.052,1.233,1.351,0.091,128,130
NOVN,2017-03-02,-0.004,-0.036,1.135,1.037,-0.09,128,129
ALV,2015-05-07,-0.007,-0.046,1.013,1.108,0.09,128,129
AZN,2017-02-16,0.002,-0.033,1.166,1.068,-0.088,128,129
APD,2016-10-03,-0.0,-0.078,0.993,1.084,0.087,128,130
MC,2014-12-17,-0.014,-0.104,1.134,1.04,-0.087,128,129
QCOM,2018-09-13,-0.129,0.0,1.102,1.203,0.087,128,129
ROP,2026-03-12,-0.008,-0.03,1.008,1.098,0.086,128,126
ROP,2017-03-16,0.004,-0.032,1.224,1.125,-0.085,128,129
SAN,2018-05-11,0.004,-0.047,1.188,1.091,-0.085,129,129
APO,2014-05-16,0.0,-0.034,1.182,1.286,0.085,96,129
ZURN,2014-04-04,-0.001,-0.064,0.896,0.975,0.084,66,129
ROP,2020-03-19,-0.02,-0.032,1.042,1.131,0.082,128,129
NOVN,2022-03-08,-0.004,-0.041,1.199,1.105,-0.082,128,129
ALV,2021-05-06,0.005,-0.044,1.066,1.155,0.081,128,129
SAN,2025-05-12,-0.015,-0.043,1.202,1.302,0.081,128,130
DHR,2023-10-02,-0.121,-0.0,1.155,1.066,-0.081,128,130
RIO,2021-08-12,-0.003,-0.069,1.052,1.14,0.081,128,129
SAN,2015-05-11,-0.017,-0.032,1.006,1.089,0.08,128,130
SAN,2020-05-04,-0.007,-0.036,1.098,1.187,0.078,128,130
PUB,2024-07-01,0.003,-0.035,1.056,1.141,0.078,128,130
MUV2,2016-04-28,0.003,-0.048,1.044,1.127,0.077,128,129
ZURN,2015-04-07,-0.008,-0.053,0.911,0.984,0.077,128,129
ZURN,2018-04-06,0.005,-0.06,1.012,1.092,0.076,129,129
CRWD,2019-12-06,-0.095,0.0,1.363,1.264,-0.076,112,129
RIO,2016-06-24,-0.085,-0.0,1.141,1.059,-0.075,129,129
TTWO,2014-07-28,-0.17,0.0,1.081,1.003,-0.075,128,130
DTE,2022-04-08,-0.0,-0.037,1.404,1.304,-0.074,129,129
ZURN,2022-04-08,-0.001,-0.05,1.085,1.167,0.073,129,129
DTE,2020-06-22,0.007,-0.04,1.169,1.259,0.073,128,130
HSBA,2016-03-03,0.007,-0.032,1.17,1.089,-0.072,128,129
MUV2,2021-04-29,-0.0,-0.039,1.077,1.158,0.072,128,129
ALV,2018-05-10,0.005,-0.041,1.075,1.155,0.071,128,129
SU,2016-05-05,-0.007,-0.037,1.115,1.038,-0.071,128,129
CS,2014-05-02,-0.0,-0.044,1.121,1.201,0.07,86,129
RIO,2019-03-07,0.002,-0.074,1.103,1.029,-0.07,128,129
BNP,2019-05-29,-0.003,-0.071,1.324,1.236,-0.069,128,129
ENEL,2024-07-22,0.001,-0.032,1.229,1.147,-0.069,128,130
RTX,2024-02-05,-0.08,-0.0,1.103,1.029,-0.069,128,130
NOVN,2016-02-25,-0.002,-0.038,1.236,1.155,-0.068,128,129
MUV2,2019-05-02,-0.038,-0.042,1.042,0.975,-0.067,128,129
MSI,2015-09-11,-0.157,-0.005,1.001,0.936,-0.067,129,129
CS,2020-07-07,-0.003,-0.039,1.394,1.304,-0.067,128,129
UCG,2025-04-22,-0.008,-0.03,1.135,1.062,-0.066,128,129
REGN,2020-05-28,-0.094,-0.0,1.036,1.106,0.065,128,129
ZURN,2019-04-05,-0.0,-0.059,1.075,1.009,-0.064,129,129
NESN,2017-04-10,0.0,-0.03,1.112,1.045,-0.062,128,130
AZN,2016-06-24,-0.084,0.0,1.196,1.126,-0.061,129,129
DTE,2017-06-01,-0.003,-0.034,1.072,1.139,0.06,128,129
CS,2023-05-08,-0.001,-0.061,1.152,1.223,0.06,128,130
